hsa,gene_name,gene_concept
hsa00240,DPYD,gene_1806
hsa00240,DPYS,gene_1807
hsa00260,SHMT2,gene_6472
hsa00260,SHMT1,gene_6470
hsa00260,AGXT,gene_189
hsa00260,GRHPR,gene_9380
hsa00260,BPGM,gene_669
hsa00260,PHGDH,gene_26227
hsa00260,ALAS1,gene_211
hsa00260,MAOB,gene_4129
hsa00260,MAOA,gene_4128
hsa00260,AOC2,gene_314
hsa00260,AMT,gene_275
hsa00260,DLD,gene_1738
hsa00260,DAO,gene_1610
hsa00260,GATM,gene_2628
hsa00260,CHDH,gene_55349
hsa00260,ALDH7A1,gene_501
hsa00260,CBS,gene_875
hsa00260,SDS,gene_10993
hsa00270,CBS,gene_875
hsa00270,MTR,gene_4548
hsa00270,MAT1A,gene_4143
hsa00270,AMD1,gene_262
hsa00270,SMS,gene_6611
hsa00270,MTAP,gene_4507
hsa00270,TAT,gene_6898
hsa00270,IL4I1,gene_259307
hsa00270,AHCY,gene_191
hsa00270,GCLC,gene_2729
hsa00270,GSS,gene_2937
hsa00270,GOT2,gene_2806
hsa00270,TST,gene_7263
hsa00270,LDHA,gene_3939
hsa00270,LDHB,gene_3945
hsa00270,LDHC,gene_3948
hsa00270,MDH1,gene_4190
hsa00270,MDH2,gene_4191
hsa00270,SDS,gene_10993
hsa00270,PHGDH,gene_26227
hsa00310,ALDH7A1,gene_501
hsa00310,DLD,gene_1738
hsa00310,GCDH,gene_2639
hsa00310,HADH,gene_3033
hsa00310,ACAT1,gene_38
hsa00310,ALDH2,gene_217
hsa00330,GATM,gene_2628
hsa00330,CKM,gene_1158
hsa00330,CKB,gene_1152
hsa00330,AZIN2,gene_113451
hsa00330,ODC1,gene_4953
hsa00330,SMS,gene_6611
hsa00330,AMD1,gene_262
hsa00330,AOC1,gene_26
hsa00330,SMOX,gene_54498
hsa00330,ALDH2,gene_217
hsa00330,ALDH7A1,gene_501
hsa00330,CNDP1,gene_84735
hsa00330,CNDP2,gene_55748
hsa00330,SAT1,gene_6303
hsa00330,MAOB,gene_4129
hsa00330,MAOA,gene_4128
hsa00330,ARG2,gene_384
hsa00330,ARG1,gene_383
hsa00330,OAT,gene_4942
hsa00330,PYCR1,gene_5831
hsa00330,LAP3,gene_51056
hsa00330,GOT2,gene_2806
hsa00330,DAO,gene_1610
hsa00340,HAL,gene_3034
hsa00340,HDC,gene_3067
hsa00340,AOC1,gene_26
hsa00340,ALDH2,gene_217
hsa00340,ALDH7A1,gene_501
hsa00340,ASPA,gene_443
hsa00340,HNMT,gene_3176
hsa00340,MAOB,gene_4129
hsa00340,MAOA,gene_4128
hsa00340,ALDH3A1,gene_218
hsa00340,CNDP2,gene_55748
hsa00340,CNDP1,gene_84735
hsa00350,GOT2,gene_2806
hsa00350,TAT,gene_6898
hsa00350,IL4I1,gene_259307
hsa00350,HPD,gene_3242
hsa00350,FAH,gene_2184
hsa00350,TYR,gene_7299
hsa00350,TH,gene_7054
hsa00350,TYRP1,gene_7306
hsa00350,DDC,gene_1644
hsa00350,DBH,gene_1621
hsa00350,PNMT,gene_5409
hsa00350,COMT,gene_1312
hsa00350,MAOB,gene_4129
hsa00350,MAOA,gene_4128
hsa00350,AOC2,gene_314
