hsa,gene_name,gene_concept,year
hsa04142,GUSB,gene_2990,1947
hsa04142,NEU1,gene_4758,1948
hsa04144,ITCH,gene_83737,1788
hsa04144,STAMBP,gene_10617,1959
hsa04144,EHD1,gene_10938,1873
hsa04145,ATP6V0A2,gene_23545,1946
hsa04145,ATP6AP1,gene_537,1959
hsa04145,MPO,gene_4353,1958
hsa04145,C3,gene_718,1953
hsa04145,SFTPA1,gene_653509,1813
hsa04146,DAO,gene_1610,1940
hsa04146,CAT,gene_847,1876
hsa04150,FLCN,gene_201163,1945
hsa04150,INS,gene_3630,1922
hsa04150,PTEN,gene_5728,1800
hsa04150,RICTOR,gene_253260,1811
hsa04151,NGF,gene_4803,1964
hsa04151,INS,gene_3630,1922
hsa04151,GH1,gene_2688,1932
hsa04151,CSH2,gene_1443,1905
hsa04151,PRL,gene_5617,1936
hsa04151,EPO,gene_2056,1955
hsa04151,IBSP,gene_3381,1952
hsa04151,PTEN,gene_5728,1800
hsa04151,G6PC1,gene_2538,1948
hsa04151,IKBKG,gene_8517,1947
hsa04152,G6PC1,gene_2538,1948
hsa04152,INS,gene_3630,1922
hsa04210,TNFSF10,gene_8743,1856
hsa04210,CYCS,gene_54205,1939
hsa04210,IKBKG,gene_8517,1947
hsa04210,BCL2A1,gene_597,1948
hsa04210,NGF,gene_4803,1964
hsa04217,GLUL,gene_2752,1954
hsa04217,FTH1,gene_2495,1942
hsa04217,TNFSF10,gene_8743,1856
hsa04218,PTEN,gene_5728,1800
hsa04218,CXCL8,gene_3576,1921
hsa04260,CYTB,gene_4519,1948
hsa04260,COX8A,gene_1351,1806
hsa04260,ATP1B1,gene_481,1941
hsa04261,ADCY1,gene_107,1962
hsa04261,ATP1B1,gene_481,1941
hsa04261,AGT,gene_183,1958
hsa04270,AGT,gene_183,1958
hsa04270,AVP,gene_551,1929
hsa04270,MYH14,gene_79784,1891
hsa04270,CALCA,gene_796,1963
hsa04270,ADM2,gene_79924,1936
hsa04270,ADCY1,gene_107,1962
hsa04340,HHIP,gene_64399,1807
hsa04350,NODAL,gene_4838,1946
hsa04350,BMPR2,gene_659,1872
hsa04371,ADCY1,gene_107,1962
hsa04380,IKBKG,gene_8517,1947
hsa04380,SPI1,gene_6688,1855
hsa04390,BMPR2,gene_659,1872
hsa04510,IBSP,gene_3381,1952
hsa04510,PTEN,gene_5728,1800
hsa04512,IBSP,gene_3381,1952
hsa04514,MAG,gene_4099,1958
hsa04520,WAS,gene_7454,1819
hsa04520,CSNK2B,gene_1460,1952
hsa04520,SNAI1,gene_6615,1876
hsa04540,ADCY1,gene_107,1962
hsa04610,F7,gene_2155,1950
hsa04610,F12,gene_2161,1954
hsa04610,F9,gene_2158,1953
hsa04610,F8,gene_2157,1954
hsa04610,F2,gene_2147,1913
hsa04610,FGB,gene_2244,1868
hsa04610,PLG,gene_5340,1946
hsa04610,KNG1,gene_3827,1949
hsa04610,SERPINA1,gene_5265,1962
hsa04610,SERPINC1,gene_462,1912
hsa04610,A2M,gene_2,1958
hsa04610,C1S,gene_716,1960
hsa04610,C3,gene_718,1953
hsa04611,F2,gene_2147,1913
hsa04611,FGB,gene_2244,1868
hsa04611,ADCY1,gene_107,1962
hsa04613,MPO,gene_4353,1958
hsa04613,C3,gene_718,1953
hsa04613,FGB,gene_2244,1868
hsa04613,AGER,gene_177,1786
hsa04613,HDAC9,gene_9734,1898
hsa04613,CAMP,gene_820,1799
hsa04614,AGT,gene_183,1958
hsa04614,REN,gene_5972,1940
hsa04614,ENPEP,gene_2028,1946
hsa04614,PREP,gene_5550,1893
hsa04614,LNPEP,gene_4012,1950
hsa04620,IKBKG,gene_8517,1947
hsa04620,CXCL8,gene_3576,1921
hsa04620,CCL4,gene_6351,1954
hsa04621,IKBKG,gene_8517,1947
hsa04621,CXCL8,gene_3576,1921
hsa04621,CAMP,gene_820,1799
hsa04623,IKBKG,gene_8517,1947
hsa04623,CCL4,gene_6351,1954
hsa04630,LIF,gene_3976,1931
hsa04630,EPO,gene_2056,1955
hsa04630,GH1,gene_2688,1932
hsa04630,CSH2,gene_1443,1905
hsa04630,PRL,gene_5617,1936
hsa04640,EPO,gene_2056,1955
hsa04650,LAT2,gene_7462,1901
hsa04650,MICA,gene_100507436,1869
hsa04650,SH2D1A,gene_4068,1805
hsa04650,TNFSF10,gene_8743,1856
hsa04657,IKBKG,gene_8517,1947
hsa04657,CXCL8,gene_3576,1921
hsa04657,MUC5AC,gene_4586,1946
hsa04658,IKBKG,gene_8517,1947
hsa04659,RORC,gene_6097,1883
hsa04659,IKBKG,gene_8517,1947
