hsa,gene_name,gene_concept,year
hsa00010,HK1,gene_3098,1945
hsa00010,GCK,gene_2645,1952
hsa00010,GPI,gene_2821,1952
hsa00010,TPI1,gene_7167,1952
hsa00010,GAPDH,gene_2597,1952
hsa00010,DLD,gene_1738,1910
hsa00010,AKR1A1,gene_10327,1938
hsa00010,PGM1,gene_5236,1968
hsa00010,G6PC1,gene_2538,1948
hsa00010,PCK1,gene_5105,1965
hsa00020,CS,gene_1431,1953
hsa00020,ACLY,gene_47,1963
hsa00020,DLD,gene_1738,1910
hsa00020,FH,gene_2271,1928
hsa00020,PC,gene_5091,1950
hsa00020,PCK1,gene_5105,1965
hsa00051,HK1,gene_3098,1945
hsa00051,KHK,gene_3795,1947
hsa00051,TPI1,gene_7167,1952
hsa00052,GALK1,gene_2584,1948
hsa00052,GALT,gene_2592,1931
hsa00052,PGM1,gene_5236,1968
hsa00052,HK1,gene_3098,1945
hsa00052,GCK,gene_2645,1952
hsa00052,G6PC1,gene_2538,1948
hsa00052,GLB1,gene_2720,1952
hsa00052,LCT,gene_3938,1804
hsa00052,LALBA,gene_3906,1955
hsa00052,SI,gene_6476,1940
hsa00100,LBR,gene_3930,1967
hsa00100,CEL,gene_1056,1948
hsa00130,TAT,gene_6898,1949
hsa00140,AKR1C2,gene_1646,1974
hsa00140,CYP1B1,gene_1545,1969
hsa00140,COMT,gene_1312,1958
hsa00230,PGM1,gene_5236,1968
hsa00230,APRT,gene_353,1964
hsa00230,NT5C2,gene_22978,1966
hsa00230,NT5E,gene_4907,1938
hsa00230,PNP,gene_4860,1953
hsa00230,HPRT1,gene_3251,1967
hsa00230,XDH,gene_7498,1950
hsa00230,GDA,gene_9615,1950
hsa00230,ADCY1,gene_107,1962
hsa00230,PDE3B,gene_5140,1966
hsa00230,ADA,gene_100,1942
hsa00230,AK1,gene_203,1951
hsa00232,XDH,gene_7498,1950
hsa00240,CMPK1,gene_51727,1965
hsa00240,NT5C2,gene_22978,1966
hsa00240,NT5E,gene_4907,1938
hsa00240,NT5C3A,gene_51251,1931
hsa00240,CDA,gene_978,1966
hsa00240,DCTD,gene_1635,1961
hsa00240,TYMS,gene_7298,1960
hsa00260,AGXT,gene_189,1922
hsa00260,PHGDH,gene_26227,1967
