hsa,gene_name,gene_concept
hsa00010,HK1,gene_3098
hsa00010,GCK,gene_2645
hsa00010,GPI,gene_2821
hsa00010,TPI1,gene_7167
hsa00010,GAPDH,gene_2597
hsa00010,DLD,gene_1738
hsa00010,AKR1A1,gene_10327
hsa00010,G6PC1,gene_2538
hsa00020,CS,gene_1431
hsa00020,DLD,gene_1738
hsa00020,FH,gene_2271
hsa00051,HK1,gene_3098
hsa00051,TPI1,gene_7167
hsa00052,HK1,gene_3098
hsa00052,GCK,gene_2645
hsa00052,G6PC1,gene_2538
hsa00052,GLB1,gene_2720
hsa00052,LCT,gene_3938
hsa00052,LALBA,gene_3906
hsa00100,CEL,gene_1056
hsa00140,COMT,gene_1312
hsa00230,APRT,gene_353
hsa00230,NT5E,gene_4907
hsa00230,GDA,gene_9615
hsa00230,ADCY1,gene_107
hsa00230,ADA,gene_100
hsa00230,AK1,gene_203
hsa00240,NT5E,gene_4907
hsa00260,DLD,gene_1738
hsa00260,DAO,gene_1610
hsa00310,DLD,gene_1738
hsa00330,AOC1,gene_26
hsa00330,DAO,gene_1610
hsa00340,HAL,gene_3034
hsa00340,HDC,gene_3067
hsa00340,AOC1,gene_26
hsa00350,TYR,gene_7299
hsa00350,DDC,gene_1644
hsa00350,DBH,gene_1621
hsa00350,COMT,gene_1312
hsa00360,PAH,gene_5053
hsa00360,DDC,gene_1644
hsa00380,TDO2,gene_6999
hsa00380,DLD,gene_1738
hsa00380,DDC,gene_1644
hsa00380,AOC1,gene_26
hsa00380,CAT,gene_847
hsa00480,GSR,gene_2936
hsa00480,G6PD,gene_2539
hsa00500,TREH,gene_11181
hsa00500,HK1,gene_3098
hsa00500,GCK,gene_2645
hsa00500,G6PC1,gene_2538
hsa00500,GPI,gene_2821
hsa00561,AKR1A1,gene_10327
hsa00561,CEL,gene_1056
hsa00561,LPL,gene_4023
hsa00562,PTEN,gene_5728
hsa00562,INPP5D,gene_3635
hsa00562,TPI1,gene_7167
hsa00564,CHAT,gene_1103
hsa00564,ACHE,gene_43
hsa00590,CYP4F3,gene_4051
hsa00600,GLB1,gene_2720
hsa00600,NEU1,gene_4758
hsa00620,DLD,gene_1738
hsa00620,AKR1A1,gene_10327
hsa00620,ME2,gene_4200
hsa00620,FH,gene_2271
hsa00760,NT5E,gene_4907
hsa00790,ALPP,gene_250
hsa00790,PAH,gene_5053
hsa00860,GUSB,gene_2990
hsa00860,CP,gene_1356
hsa00983,CES2,gene_8824
hsa00983,GUSB,gene_2990
hsa00983,MPO,gene_4353
hsa02010,ABCB6,gene_10058
hsa03013,NXF1,gene_10482
hsa03320,LPL,gene_4023
hsa03410,APEX1,gene_328
hsa04010,NGF,gene_4803
hsa04010,INS,gene_3630
hsa04010,MAPT,gene_4137
hsa04010,IKBKG,gene_8517
hsa04014,NGF,gene_4803
hsa04014,INS,gene_3630
hsa04014,IKBKG,gene_8517
hsa04020,ADCY1,gene_107
hsa04020,NGF,gene_4803
hsa04022,ATP1B1,gene_481
hsa04022,ADCY1,gene_107
hsa04022,KNG1,gene_3827
hsa04022,INS,gene_3630
hsa04024,GPHA2,gene_170589
hsa04024,POMC,gene_5443
hsa04024,GCG,gene_2641
hsa04024,OXT,gene_5020
hsa04024,ADCY1,gene_107
hsa04024,HHIP,gene_64399
hsa04024,ATP1B1,gene_481
hsa04060,CCL4,gene_6351
hsa04060,CXCL8,gene_3576
hsa04060,EPO,gene_2056
hsa04060,GH1,gene_2688
hsa04060,CSH2,gene_1443
hsa04060,PRL,gene_5617
hsa04060,LIF,gene_3976
hsa04060,TNFSF10,gene_8743
hsa04060,NGF,gene_4803
hsa04060,NODAL,gene_4838
hsa04060,BMPR2,gene_659
hsa04061,CCL4,gene_6351
hsa04061,CXCL8,gene_3576
hsa04061,TNFSF10,gene_8743
hsa04062,CXCL8,gene_3576
hsa04062,CCL4,gene_6351
hsa04062,ADCY1,gene_107
hsa04062,IKBKG,gene_8517
hsa04062,WAS,gene_7454
hsa04064,IKBKG,gene_8517
