hsa,gene_name,gene_concept
hsa00052,HK3,Gene_3101
hsa00052,HK1,Gene_3098
hsa00052,HK2,Gene_3099
hsa00052,HKDC1,Gene_80201
hsa00052,GCK,Gene_2645
hsa00052,G6PC1,Gene_2538
hsa00052,G6PC2,Gene_57818
hsa00052,G6PC3,Gene_92579
hsa00052,GLB1,Gene_2720
hsa00052,LCT,Gene_3938
hsa00052,LALBA,Gene_3906
hsa00052,B4GALT1,Gene_2683
hsa00052,B4GALT2,Gene_8704
hsa00052,GLA,Gene_2717
hsa00052,AKR1B1,Gene_231
hsa00052,AKR1B10,Gene_57016
hsa00052,PFKM,Gene_5213
hsa00052,PFKP,Gene_5214
hsa00052,PFKL,Gene_5211
hsa00052,MGAM,Gene_8972
hsa00052,GAA,Gene_2548
hsa00052,GANC,Gene_2595
hsa00052,SI,Gene_6476
hsa00071,ACAT2,Gene_39
hsa00071,ACAT1,Gene_38
hsa00071,ACAA1,Gene_30
hsa00071,ACAA2,Gene_10449
hsa00071,HADHB,Gene_3032
hsa00071,HADH,Gene_3033
hsa00071,HADHA,Gene_3030
hsa00071,EHHADH,Gene_1962
hsa00071,ECHS1,Gene_1892
hsa00071,ACOX3,Gene_8310
hsa00071,ACOX1,Gene_51
hsa00071,ACADS,Gene_35
hsa00071,ACADM,Gene_34
hsa00071,ACADL,Gene_33
hsa00071,ACADSB,Gene_36
hsa00071,ACADVL,Gene_37
hsa00071,GCDH,Gene_2639
hsa00071,ACSL6,Gene_23305
hsa00071,ACSL4,Gene_2182
hsa00071,ACSL1,Gene_2180
hsa00071,ACSL5,Gene_51703
hsa00071,ACSL3,Gene_2181
hsa00071,ACSBG1,Gene_23205
hsa00071,ACSBG2,Gene_81616
hsa00071,CPT1A,Gene_1374
hsa00071,CPT1B,Gene_1375
hsa00071,CPT1C,Gene_126129
hsa00071,CPT2,Gene_1376
hsa00071,ECI1,Gene_1632
hsa00071,ECI2,Gene_10455
hsa00071,CYP2U1,Gene_113612
hsa00071,ADH1A,Gene_124
hsa00071,ADH1B,Gene_125
hsa00071,ADH1C,Gene_126
hsa00071,ADH7,Gene_131
hsa00071,ADH4,Gene_127
hsa00071,ADH5,Gene_128
hsa00071,ADH6,Gene_130
hsa00071,ALDH2,Gene_217
hsa00071,ALDH3A2,Gene_224
hsa00071,ALDH1B1,Gene_219
hsa00071,ALDH7A1,Gene_501
hsa00071,ALDH9A1,Gene_223
hsa00100,FDFT1,Gene_2222
hsa00100,SQLE,Gene_6713
hsa00100,LSS,Gene_4047
hsa00100,CYP51A1,Gene_1595
hsa00100,TM7SF2,Gene_7108
hsa00100,LBR,Gene_3930
hsa00100,MSMO1,Gene_6307
hsa00100,NSDHL,Gene_50814
hsa00100,HSD17B7,Gene_51478
hsa00100,EBP,Gene_10682
hsa00100,DHCR24,Gene_1718
hsa00100,SC5D,Gene_6309
hsa00100,DHCR7,Gene_1717
hsa00100,LIPA,Gene_3988
hsa00100,CEL,Gene_1056
hsa00100,SOAT2,Gene_8435
hsa00100,SOAT1,Gene_6646
hsa00100,CYP2R1,Gene_120227
hsa00100,CYP27B1,Gene_1594
hsa00100,CYP24A1,Gene_1591
hsa00130,TAT,Gene_6898
hsa00130,COQ2,Gene_27235
hsa00130,COQ6,Gene_51004
hsa00130,COQ3,Gene_51805
hsa00130,COQ5,Gene_84274
hsa00130,COQ7,Gene_10229
hsa00130,NQO1,Gene_1728
hsa00130,GGCX,Gene_2677
hsa00130,VKORC1,Gene_79001
hsa00130,VKORC1L1,Gene_154807
hsa00130,HPD,Gene_3242
hsa00140,CYP11A1,Gene_1583
hsa00140,CYP17A1,Gene_1586
hsa00140,STS,Gene_412
hsa00140,SULT2B1,Gene_6820
hsa00140,CYP21A2,Gene_1589
hsa00140,HSD3B1,Gene_3283
hsa00140,HSD3B2,Gene_3284
hsa00140,SRD5A1,Gene_6715
hsa00140,SRD5A2,Gene_6716
hsa00140,SRD5A3,Gene_79644
hsa00140,AKR1C2,Gene_1646
hsa00140,AKR1C3,Gene_8644
hsa00140,CYP11B1,Gene_1584
hsa00140,CYP11B2,Gene_1585
hsa00140,AKR1D1,Gene_6718
hsa00140,AKR1C4,Gene_1109
hsa00140,HSD11B1,Gene_3290
hsa00140,HSD11B1L,Gene_374875
hsa00140,HSD11B2,Gene_3291
hsa00140,AKR1C1,Gene_1645
hsa00140,CYP7B1,Gene_9420
hsa00140,SULT1E1,Gene_6783
hsa00140,HSD17B1,Gene_3292
hsa00140,HSD17B2,Gene_3294
hsa00140,HSD17B6,Gene_8630
hsa00140,HSD17B7,Gene_51478
hsa00140,HSD17B8,Gene_7923
hsa00140,HSD17B12,Gene_51144
hsa00140,DHRS11,Gene_79154
hsa00140,CYP1A1,Gene_1543
hsa00140,CYP1A2,Gene_1544
hsa00140,CYP3A5,Gene_1577
hsa00140,CYP3A7,Gene_1551
hsa00140,CYP3A7-CYP3A51P,Gene_100861540
hsa00140,CYP2E1,Gene_1571
hsa00140,CYP3A4,Gene_1576
hsa00140,CYP1B1,Gene_1545
hsa00140,CYP19A1,Gene_1588
hsa00140,CYP7A1,Gene_1581
hsa00140,HSD17B11,Gene_51170
hsa00140,UGT2A1,Gene_10941
hsa00140,UGT2A3,Gene_79799
hsa00140,UGT2B17,Gene_7367
hsa00140,UGT2B11,Gene_10720
hsa00140,UGT2B28,Gene_54490
hsa00140,UGT1A6,Gene_54578
hsa00140,UGT1A4,Gene_54657
hsa00140,UGT1A1,Gene_54658
hsa00140,UGT1A3,Gene_54659
hsa00140,UGT2B10,Gene_7365
hsa00140,UGT1A9,Gene_54600
hsa00140,UGT2B7,Gene_7364
hsa00140,UGT1A10,Gene_54575
hsa00140,UGT1A8,Gene_54576
hsa00140,UGT1A5,Gene_54579
hsa00140,UGT2B15,Gene_7366
hsa00140,UGT1A7,Gene_54577
hsa00140,UGT2B4,Gene_7363
hsa00140,UGT2A2,Gene_574537
hsa00140,COMT,Gene_1312
hsa00140,LRTOMT,Gene_220074
hsa00140,HSD17B3,Gene_3293
hsa00230,NUDT9,Gene_53343
hsa00230,ADPRM,Gene_56985
hsa00230,NUDT5,Gene_11164
hsa00230,PGM1,Gene_5236
hsa00230,PGM2,Gene_55276
hsa00230,PRPS1L1,Gene_221823
hsa00230,PRPS2,Gene_5634
hsa00230,PRPS1,Gene_5631
hsa00230,PPAT,Gene_5471
hsa00230,GART,Gene_2618
hsa00230,PFAS,Gene_5198
hsa00230,PAICS,Gene_10606
hsa00230,ADSL,Gene_158
hsa00230,ATIC,Gene_471
hsa00230,APRT,Gene_353
hsa00230,NT5C2,Gene_22978
hsa00230,NT5C1A,Gene_84618
hsa00230,NT5C1B,Gene_93034
hsa00230,NT5C,Gene_30833
hsa00230,NT5M,Gene_56953
hsa00230,NT5E,Gene_4907
hsa00230,PNP,Gene_4860
hsa00230,LACC1,Gene_144811
hsa00230,HPRT1,Gene_3251
hsa00230,IMPDH1,Gene_3614
hsa00230,IMPDH2,Gene_3615
hsa00230,NME6,Gene_10201
hsa00230,NME7,Gene_29922
hsa00230,NME2,Gene_4831
hsa00230,NME4,Gene_4833
hsa00230,NME1,Gene_4830
hsa00230,NME3,Gene_4832
hsa00230,NME1-NME2,Gene_654364
hsa00230,AK9,Gene_221264
hsa00230,ENTPD3,Gene_956
hsa00230,ENTPD8,Gene_377841
hsa00230,ENTPD1,Gene_953
hsa00230,CANT1,Gene_124583
hsa00230,ENTPD4,Gene_9583
hsa00230,ENTPD5,Gene_957
hsa00230,ENTPD6,Gene_955
hsa00230,NUDT16,Gene_131870
hsa00230,ITPA,Gene_3704
hsa00230,XDH,Gene_7498
hsa00230,NUDT2,Gene_318
hsa00230,GMPS,Gene_8833
hsa00230,GMPR,Gene_2766
hsa00230,GMPR2,Gene_51292
hsa00230,GDA,Gene_9615
hsa00230,GUK1,Gene_2987
hsa00230,RRM1,Gene_6240
hsa00230,RRM2B,Gene_50484
hsa00230,RRM2,Gene_6241
hsa00230,HDDC2,Gene_51020
hsa00230,DGUOK,Gene_1716
hsa00230,DCK,Gene_1633
hsa00230,HDDC3,Gene_374659
hsa00230,PRUNE1,Gene_58497
hsa00230,ADCY1,Gene_107
hsa00230,ADCY2,Gene_108
hsa00230,ADCY3,Gene_109
hsa00230,ADCY4,Gene_196883
hsa00230,ADCY5,Gene_111
hsa00230,ADCY6,Gene_112
hsa00230,ADCY7,Gene_113
hsa00230,ADCY8,Gene_114
hsa00230,ADCY9,Gene_115
hsa00230,ADCY10,Gene_55811
hsa00230,GUCY1A2,Gene_2977
hsa00230,GUCY1A1,Gene_2982
hsa00230,GUCY1B1,Gene_2983
hsa00230,GUCY2C,Gene_2984
hsa00230,GUCY2D,Gene_3000
hsa00230,GUCY2F,Gene_2986
hsa00230,NPR1,Gene_4881
hsa00230,NPR2,Gene_4882
hsa00230,PDE1A,Gene_5136
hsa00230,PDE1B,Gene_5153
hsa00230,PDE1C,Gene_5137
hsa00230,PDE2A,Gene_5138
hsa00230,PDE3A,Gene_5139
hsa00230,PDE3B,Gene_5140
hsa00230,PDE5A,Gene_8654
hsa00230,PDE6A,Gene_5145
hsa00230,PDE6B,Gene_5158
hsa00230,PDE6C,Gene_5146
hsa00230,PDE6D,Gene_5147
hsa00230,PDE6G,Gene_5148
hsa00230,PDE6H,Gene_5149
hsa00230,PDE9A,Gene_5152
hsa00230,PDE10A,Gene_10846
hsa00230,PDE11A,Gene_50940
hsa00230,ADSS1,Gene_122622
hsa00230,ADSS2,Gene_159
hsa00230,AMPD2,Gene_271
hsa00230,AMPD3,Gene_272
hsa00230,AMPD1,Gene_270
hsa00230,ADK,Gene_132
hsa00230,ADA,Gene_100
hsa00230,ADA2,Gene_51816
hsa00230,AK7,Gene_122481
hsa00230,AK4,Gene_205
hsa00230,AK5,Gene_26289
hsa00230,AK2,Gene_204
hsa00230,AK1,Gene_203
hsa00230,AK8,Gene_158067
hsa00230,AK6,Gene_102157402
hsa00230,AK3,Gene_50808
hsa00230,ENTPD2,Gene_954
hsa00230,NTPCR,Gene_84284
hsa00230,ENPP1,Gene_5167
hsa00230,ENPP3,Gene_5169
hsa00230,PDE4A,Gene_5141
hsa00230,PDE4B,Gene_5142
hsa00230,PDE4C,Gene_5143
hsa00230,PDE4D,Gene_5144
hsa00230,PDE7A,Gene_5150
hsa00230,PDE7B,Gene_27115
hsa00230,PDE8B,Gene_8622
hsa00230,PDE8A,Gene_5151
hsa00230,FHIT,Gene_2272
hsa00230,ENPP4,Gene_22875
hsa00230,PAPSS2,Gene_9060
hsa00230,PAPSS1,Gene_9061
hsa00230,URAD,Gene_646625
hsa00230,ALLC,Gene_55821
hsa00232,CYP1A2,Gene_1544
hsa00232,NAT2,Gene_10
hsa00232,NAT1,Gene_9
hsa00232,CYP2A6,Gene_1548
hsa00232,CYP2A7,Gene_1549
hsa00232,XDH,Gene_7498
hsa00240,CAD,Gene_790
hsa00240,DHODH,Gene_1723
hsa00240,UMPS,Gene_7372
hsa00240,CMPK1,Gene_51727
hsa00240,CMPK2,Gene_129607
hsa00240,NME6,Gene_10201
hsa00240,NME7,Gene_29922
hsa00240,NME2,Gene_4831
hsa00240,NME4,Gene_4833
hsa00240,NME1,Gene_4830
hsa00240,NME3,Gene_4832
hsa00240,NME1-NME2,Gene_654364
hsa00240,AK9,Gene_221264
hsa00240,ENTPD3,Gene_956
hsa00240,ENTPD8,Gene_377841
hsa00240,ENTPD1,Gene_953
hsa00240,CANT1,Gene_124583
hsa00240,ENTPD4,Gene_9583
hsa00240,ENTPD5,Gene_957
hsa00240,ENTPD6,Gene_955
hsa00240,ENPP1,Gene_5167
hsa00240,ENPP3,Gene_5169
hsa00240,ASMTL,Gene_8623
hsa00240,NUDT2,Gene_318
hsa00240,CTPS1,Gene_1503
hsa00240,CTPS2,Gene_56474
hsa00240,UCK1,Gene_83549
hsa00240,UCK2,Gene_7371
hsa00240,UCKL1,Gene_54963
hsa00240,NT5C2,Gene_22978
hsa00240,NT5C1A,Gene_84618
hsa00240,NT5C1B,Gene_93034
hsa00240,NT5C,Gene_30833
hsa00240,NT5M,Gene_56953
hsa00240,NT5E,Gene_4907
hsa00240,UPP2,Gene_151531
hsa00240,UPP1,Gene_7378
hsa00240,NT5C3A,Gene_51251
hsa00240,NT5C3B,Gene_115024
hsa00240,CDA,Gene_978
hsa00240,RRM1,Gene_6240
hsa00240,RRM2B,Gene_50484
hsa00240,RRM2,Gene_6241
hsa00240,DCTPP1,Gene_79077
hsa00240,HDDC2,Gene_51020
hsa00240,DCK,Gene_1633
hsa00240,DCTD,Gene_1635
hsa00240,DTYMK,Gene_1841
hsa00240,DUT,Gene_1854
hsa00240,TYMP,Gene_1890
hsa00240,TK2,Gene_7084
hsa00240,TK1,Gene_7083
hsa00240,TYMS,Gene_7298
hsa00240,DPYD,Gene_1806
hsa00240,DPYS,Gene_1807
hsa00240,UPB1,Gene_51733
hsa00260,SHMT2,Gene_6472
hsa00260,SHMT1,Gene_6470
hsa00260,AGXT,Gene_189
hsa00260,GRHPR,Gene_9380
hsa00260,GLYCTK,Gene_132158
hsa00260,PGAM1,Gene_5223
hsa00260,PGAM2,Gene_5224
hsa00260,PGAM4,Gene_441531
hsa00260,BPGM,Gene_669
hsa00260,PHGDH,Gene_26227
hsa00260,PSAT1,Gene_29968
hsa00260,PSPH,Gene_5723
hsa00260,GCAT,Gene_23464
hsa00260,ALAS1,Gene_211
hsa00260,ALAS2,Gene_212
hsa00260,MAOB,Gene_4129
hsa00260,MAOA,Gene_4128
hsa00260,AOC3,Gene_8639
hsa00260,AOC2,Gene_314
hsa00260,GLDC,Gene_2731
hsa00260,AMT,Gene_275
hsa00260,DLD,Gene_1738
hsa00260,GCSH,Gene_2653
hsa00260,DAO,Gene_1610
hsa00260,AGXT2,Gene_64902
hsa00260,GATM,Gene_2628
hsa00260,GAMT,Gene_2593
hsa00260,CHDH,Gene_55349
hsa00260,ALDH7A1,Gene_501
hsa00260,BHMT,Gene_635
hsa00260,DMGDH,Gene_29958
hsa00260,PIPOX,Gene_51268
hsa00260,SARDH,Gene_1757
hsa00260,GNMT,Gene_27232
hsa00260,CBS,Gene_875
hsa00260,CBS,Gene_102724560
hsa00260,CTH,Gene_1491
hsa00260,SDS,Gene_10993
hsa00260,SDSL,Gene_113675
hsa00260,SRR,Gene_63826
hsa00270,CTH,Gene_1491
hsa00270,KYAT3,Gene_56267
hsa00270,KYAT1,Gene_883
hsa00270,CBS,Gene_875
hsa00270,CBS,Gene_102724560
hsa00270,BHMT,Gene_635
hsa00270,BHMT2,Gene_23743
hsa00270,MTR,Gene_4548
hsa00270,MAT2B,Gene_27430
hsa00270,MAT1A,Gene_4143
hsa00270,MAT2A,Gene_4144
hsa00270,AMD1,Gene_262
hsa00270,SRM,Gene_6723
hsa00270,SMS,Gene_6611
hsa00270,MTAP,Gene_4507
hsa00270,LACC1,Gene_144811
hsa00270,MRI1,Gene_84245
hsa00270,APIP,Gene_51074
hsa00270,ENOPH1,Gene_58478
hsa00270,ADI1,Gene_55256
hsa00270,TAT,Gene_6898
hsa00270,IL4I1,Gene_259307
hsa00270,DNMT1,Gene_1786
hsa00270,DNMT3A,Gene_1788
hsa00270,DNMT3B,Gene_1789
hsa00270,AHCYL2,Gene_23382
hsa00270,AHCYL1,Gene_10768
hsa00270,AHCY,Gene_191
hsa00270,BCAT2,Gene_587
hsa00270,BCAT1,Gene_586
hsa00270,AGXT2,Gene_64902
hsa00270,GCLC,Gene_2729
hsa00270,GCLM,Gene_2730
hsa00270,GSS,Gene_2937
hsa00270,CDO1,Gene_1036
hsa00270,GOT1,Gene_2805
hsa00270,GOT1L1,Gene_137362
hsa00270,GOT2,Gene_2806
hsa00270,MPST,Gene_4357
hsa00270,TST,Gene_7263
hsa00270,LDHAL6A,Gene_160287
hsa00270,LDHAL6B,Gene_92483
hsa00270,LDHA,Gene_3939
hsa00270,LDHB,Gene_3945
hsa00270,LDHC,Gene_3948
hsa00270,MDH1,Gene_4190
hsa00270,MDH2,Gene_4191
hsa00270,SDS,Gene_10993
hsa00270,SDSL,Gene_113675
hsa00270,PHGDH,Gene_26227
hsa00270,PSAT1,Gene_29968
hsa00310,AASS,Gene_10157
hsa00310,ALDH7A1,Gene_501
hsa00310,AADAT,Gene_51166
hsa00310,DHTKD1,Gene_55526
hsa00310,DLST,Gene_1743
hsa00310,DLD,Gene_1738
hsa00310,GCDH,Gene_2639
hsa00310,HADHA,Gene_3030
hsa00310,EHHADH,Gene_1962
hsa00310,ECHS1,Gene_1892
hsa00310,HADH,Gene_3033
hsa00310,ACAT2,Gene_39
hsa00310,ACAT1,Gene_38
hsa00310,HYKK,Gene_123688
hsa00310,PHYKPL,Gene_85007
hsa00310,PIPOX,Gene_51268
hsa00310,CAMKMT,Gene_79823
hsa00310,KMT2A,Gene_4297
hsa00310,KMT2D,Gene_8085
hsa00310,KMT2C,Gene_58508
hsa00310,KMT2B,Gene_9757
hsa00310,KMT2E,Gene_55904
hsa00310,SETD1B,Gene_23067
hsa00310,SETD1A,Gene_9739
hsa00310,SETD7,Gene_80854
hsa00310,PRDM9,Gene_56979
hsa00310,PRDM7,Gene_11105
hsa00310,ASH1L,Gene_55870
hsa00310,SMYD2,Gene_56950
hsa00310,SMYD3,Gene_64754
hsa00310,SMYD1,Gene_150572
hsa00310,SUV39H1,Gene_6839
hsa00310,SUV39H2,Gene_79723
hsa00310,EHMT2,Gene_10919
hsa00310,EHMT1,Gene_79813
hsa00310,SETDB1,Gene_9869
hsa00310,SETDB2,Gene_83852
hsa00310,PRDM2,Gene_7799
hsa00310,EZH1,Gene_2145
hsa00310,EZH2,Gene_2146
hsa00310,SETMAR,Gene_6419
hsa00310,NSD1,Gene_64324
hsa00310,NSD2,Gene_7468
hsa00310,NSD3,Gene_54904
hsa00310,SETD2,Gene_29072
hsa00310,DOT1L,Gene_84444
hsa00310,KMT5A,Gene_387893
hsa00310,PRDM6,Gene_93166
hsa00310,KMT5C,Gene_84787
hsa00310,KMT5B,Gene_51111
hsa00310,MECOM,Gene_2122
hsa00310,PRDM16,Gene_63976
hsa00310,TMLHE,Gene_55217
hsa00310,ALDH2,Gene_217
hsa00310,ALDH3A2,Gene_224
hsa00310,ALDH1B1,Gene_219
hsa00310,ALDH9A1,Gene_223
hsa00310,BBOX1,Gene_8424
hsa00310,PLOD1,Gene_5351
hsa00310,PLOD2,Gene_5352
hsa00310,PLOD3,Gene_8985
hsa00310,COLGALT1,Gene_79709
hsa00310,COLGALT2,Gene_23127
hsa00330,GATM,Gene_2628
