hsa,gene_name,gene_concept
hsa00071,CYP2U1,gene_113612
hsa00071,ADH1A,gene_124
hsa00071,ADH1B,gene_125
hsa00071,ADH1C,gene_126
hsa00071,ADH7,gene_131
hsa00071,ADH4,gene_127
hsa00071,ADH5,gene_128
hsa00071,ADH6,gene_130
hsa00071,ALDH2,gene_217
hsa00071,ALDH3A2,gene_224
hsa00071,ALDH1B1,gene_219
hsa00071,ALDH7A1,gene_501
hsa00071,ALDH9A1,gene_223
hsa00100,FDFT1,gene_2222
hsa00100,SQLE,gene_6713
hsa00100,LSS,gene_4047
hsa00100,CYP51A1,gene_1595
hsa00100,TM7SF2,gene_7108
hsa00100,LBR,gene_3930
hsa00100,MSMO1,gene_6307
hsa00100,NSDHL,gene_50814
hsa00100,HSD17B7,gene_51478
hsa00100,EBP,gene_10682
hsa00100,DHCR24,gene_1718
hsa00100,SC5D,gene_6309
hsa00100,DHCR7,gene_1717
hsa00100,LIPA,gene_3988
hsa00100,CEL,gene_1056
hsa00100,SOAT2,gene_8435
hsa00100,SOAT1,gene_6646
hsa00100,CYP2R1,gene_120227
hsa00100,CYP27B1,gene_1594
hsa00100,CYP24A1,gene_1591
hsa00130,TAT,gene_6898
hsa00130,COQ2,gene_27235
hsa00130,COQ6,gene_51004
hsa00130,COQ5,gene_84274
hsa00130,COQ7,gene_10229
hsa00130,NQO1,gene_1728
hsa00130,GGCX,gene_2677
hsa00130,VKORC1,gene_79001
hsa00130,VKORC1L1,gene_154807
hsa00130,HPD,gene_3242
hsa00140,CYP11A1,gene_1583
hsa00140,CYP17A1,gene_1586
hsa00140,STS,gene_412
hsa00140,SULT2B1,gene_6820
hsa00140,CYP21A2,gene_1589
hsa00140,HSD3B1,gene_3283
hsa00140,HSD3B2,gene_3284
hsa00140,SRD5A1,gene_6715
hsa00140,SRD5A2,gene_6716
hsa00140,SRD5A3,gene_79644
hsa00140,AKR1C2,gene_1646
hsa00140,AKR1C3,gene_8644
hsa00140,CYP11B1,gene_1584
hsa00140,CYP11B2,gene_1585
