chemical_mesh_c000592493	drug2gene_in_hsa00380	gene_121278
chemical_mesh_c006919	drug2gene_in_hsa00380	gene_4129
chemical_mesh_c038213	drug2gene_in_hsa00380	gene_4128
chemical_mesh_d007490	drug2gene_in_hsa00380	gene_4129
chemical_mesh_d007520	drug2gene_in_hsa00380	gene_4128
chemical_mesh_d010624	drug2gene_in_hsa00380	gene_4129
chemical_mesh_d014191	drug2gene_in_hsa00380	gene_4128
chemical_mesh_c006303	drug2gene_in_hsa00480	gene_2686
chemical_mesh_d006918	drug2gene_in_hsa00480	gene_6241
chemical_mesh_c045621	drug2gene_in_hsa00500	gene_2595
chemical_mesh_c102817	drug2gene_in_hsa00500	gene_8972
chemical_mesh_d020909	drug2gene_in_hsa00500	gene_2595
chemical_mesh_d020909	drug2gene_in_hsa00500	gene_279
chemical_mesh_c520092	drug2gene_in_hsa00561	gene_5406
chemical_mesh_c009500	drug2gene_in_hsa00590	gene_5743
chemical_mesh_c010395	drug2gene_in_hsa00590	gene_5742
chemical_mesh_c011677	drug2gene_in_hsa00590	gene_240
chemical_mesh_c012776	drug2gene_in_hsa00590	gene_5743
chemical_mesh_c014285	drug2gene_in_hsa00590	gene_5743
chemical_mesh_c015075	drug2gene_in_hsa00590	gene_5743
chemical_mesh_c015408	drug2gene_in_hsa00590	gene_240
chemical_mesh_c016167	drug2gene_in_hsa00590	gene_5742
chemical_mesh_c020371	drug2gene_in_hsa00590	gene_5743
chemical_mesh_c020904	drug2gene_in_hsa00590	gene_5742
chemical_mesh_c024876	drug2gene_in_hsa00590	gene_5742
chemical_mesh_c025377	drug2gene_in_hsa00590	gene_5742
chemical_mesh_c027953	drug2gene_in_hsa00590	gene_5743
chemical_mesh_c029946	drug2gene_in_hsa00590	gene_5742
chemical_mesh_c031060	drug2gene_in_hsa00590	gene_5742
chemical_mesh_c032801	drug2gene_in_hsa00590	gene_5742
chemical_mesh_c035296	drug2gene_in_hsa00590	gene_240
chemical_mesh_c039242	drug2gene_in_hsa00590	gene_6916
chemical_mesh_c043940	drug2gene_in_hsa00590	gene_5742
chemical_mesh_c048480	drug2gene_in_hsa00590	gene_5742
chemical_mesh_c049073	drug2gene_in_hsa00590	gene_5743
chemical_mesh_c054999	drug2gene_in_hsa00590	gene_5742
chemical_mesh_c056498	drug2gene_in_hsa00590	gene_5743
chemical_mesh_c059451	drug2gene_in_hsa00590	gene_5743
chemical_mesh_c060022	drug2gene_in_hsa00590	gene_5743
chemical_mesh_c062767	drug2gene_in_hsa00590	gene_5742
chemical_mesh_c063449	drug2gene_in_hsa00590	gene_240
chemical_mesh_c064142	drug2gene_in_hsa00590	gene_5743
chemical_mesh_c064268	drug2gene_in_hsa00590	gene_5742
chemical_mesh_c065762	drug2gene_in_hsa00590	gene_5742
chemical_mesh_c071200	drug2gene_in_hsa00590	gene_5743
